Datum;Zeit;Terminal;Kunde;EAN;Produkt;Kategorie;Preis;MwSt
2025-03-02;13:44;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-02;13:44;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-02;13:44;1;0014252568;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-02;20:24;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-02;20:24;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-03;09:16;1;0014252568;44444;"Berliner Pils 0.33l";Getränke;1.00;
2025-03-03;09:16;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-03;09:16;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-03;09:17;1;2009;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-03;09:17;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-03;09:17;1;2009;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-03;09:17;1;2009;44444;"Berliner Pils 0.33l";Getränke;1.00;
2025-03-03;17:51;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-03;17:51;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-03;17:52;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-03;17:52;1;0014252568;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-03;18:23;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-03;18:23;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-04;20:49;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-04;20:49;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-04;20:49;1;0014252568;44444;"Berliner Pils 0.33l";Getränke;1.00;
2025-03-04;21:03;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-04;21:03;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-04;21:25;1;2009;44444;"Berliner Pils 0.33l";Getränke;1.00;
2025-03-04;21:25;1;2009;44444;"Berliner Pils 0.33l";Getränke;1.00;
2025-03-04;21:25;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-04;21:25;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-04;21:25;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-04;21:25;1;0014252568;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-04;23:23;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-04;23:23;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-04;23:23;1;0014252568;44444;"Berliner Pils 0.33l";Getränke;1.00;
2025-03-04;23:23;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-04;23:23;1;2009;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-04;23:23;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-04;00:03;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-04;00:03;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-04;00:03;1;0014252568;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-04;00:03;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-04;00:03;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-04;00:03;1;2009;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-04;00:03;1;2009;44444;"Berliner Pils 0.33l";Getränke;1.00;
2025-03-04;00:03;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-04;00:06;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-04;00:06;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-04;00:06;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-04;00:17;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-04;00:17;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-04;00:21;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-04;00:21;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-04;00:23;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-04;00:23;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-04;00:24;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-04;00:24;1;0014252568;44444;"Berliner Pils 0.33l";Getränke;1.00;
5.3.2025;00:27;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
5.3.2025;00:27;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-3-5;00:29;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-3-5;00:29;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-3-5;00:30;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-3-5;00:30;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;00:32;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-05;00:32;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;00:33;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-05;00:33;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;00:33;1;0014252568;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-05;00:33;1;0014252568;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-05;00:33;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;00:33;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;01:06;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;01:06;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-05;01:06;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;01:06;1;0014252568;44444;"Berliner Pils 0.33l";Getränke;1.00;
2025-03-05;01:07;1;2009;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-05;01:07;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;01:07;1;2009;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-05;01:07;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;01:11;1;2009;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-05;01:11;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;01:12;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-05;01:12;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;01:12;1;2009;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-05;01:12;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;01:12;1;2009;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-05;01:13;1;2009;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-05;01:13;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;01:13;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;01:13;1;0014252568;44444;"Berliner Pils 0.33l";Getränke;1.00;
2025-03-05;01:15;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-05;01:15;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;01:17;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-05;01:17;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;01:17;1;0014252568;44444;"Berliner Pils 0.33l";Getränke;1.00;
2025-03-05;01:35;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-05;01:35;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;01:35;1;2009;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-05;01:35;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;01:35;1;2009;44444;"Berliner Pils 0.33l";Getränke;1.00;
2025-03-05;01:37;1;2009;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-05;01:37;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;21:44;1;0014252568;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-05;21:44;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-05;21:44;1;0014252568;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-05;21:56;1;0014252568;4102380027083;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-05;21:56;1;0014252568;4102380027083;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-05;21:56;1;0014252568;4102380027083;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-05;21:56;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-07;21:33;1;2009;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-07;21:33;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-07;21:43;1;2009;11111;"hella Kirsche 0.75l";Getränke;1.99;7
2025-03-07;21:43;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-07;21:43;1;2009;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-07;21:43;1;2009;44444;"Berliner Pils 0.33l";Getränke;1.00;
2025-03-07;22:13;1;2009;11111;"hella Kirsche 0.75l";Getränke;5,99;7
2025-03-07;22:13;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-07;22:13;1;2009;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-07;22:13;1;2009;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-08;20:41;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-09;17:27;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-09;17:43;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-09;17:43;1;2009;9990000000000;"manuelle Buchung";Manuell;7.77;19
2025-03-09;17:45;1;2009;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-09;17:45;1;2009;9990000000000;"manuelle Buchung";Manuell;6.66;19
2025-03-09;19:39;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-09;19:39;1;2009;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-09;20:06;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-09;20:06;1;2009;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-09;20:06;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-09;20:12;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-09;20:12;1;2009;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-09;20:12;1;2009;9990000000000;"manuelle Buchung";Manuell;0.88;19
2025-03-09;20:12;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-09;20:15;1;2009;9990000000000;"manuelle Buchung";Manuell;88.89;19
2025-03-09;20:29;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-09;20:29;1;2009;9990000000000;"manuelle Buchung";Manuell;0.77;19
2025-03-09;20:30;1;2009;9990000000000;"manuelle Buchung";Manuell;88.88;19
2025-03-09;20:51;1;1999;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-09;21:07;1;1999;4463300106005;"Speisen 6€";;6.00;
2025-03-09;21:07;1;1999;4463300215004;T-Shirt;;15.00;
2025-03-09;21:07;1;1999;4463300210993;Wendehut;;10.00;
2025-03-09;21:07;1;1999;4463500000000;"Manuelle Buchung";"Manuelle Buchung";1.00;19
2025-03-09;21:15;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-09;21:16;1;1999;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-09;21:16;1;1999;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-09;21:17;1;1999;4463300215004;T-Shirt;;15.00;
2025-03-10;10:11;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-10;10:11;1;2009;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-10;10:11;1;2009;44444;"Berliner Pils 0.33l";Getränke;1.00;
2025-03-10;10:12;1;2009;4463300106005;"Speisen 6€";;6.00;
2025-03-10;10:12;1;2009;4463300210993;Wendehut;;10.00;
2025-03-10;10:12;1;2009;4463300215004;T-Shirt;;15.00;
2025-03-10;10:12;1;2009;4463300210993;Wendehut;;10.00;
2025-03-10;10:13;1;1999;4463300215004;T-Shirt;;15.00;
2025-03-10;16:43;1;1999;4463500000000;Gastflug;;30.00;
2025-03-10;16:43;1;1999;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-10;16:48;1;1999;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-10;16:49;1;1999;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-10;17:25;1;1999;4463300106005;"Speisen 6€";;6.00;
2025-03-10;17:25;1;1999;4463300215004;T-Shirt;;15.00;
2025-03-10;17:25;1;1999;4463300210993;Wendehut;;10.00;
2025-03-10;17:28;1;1999;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-10;17:34;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-10;17:35;1;2009;11111;"hella Kirsche 0.75l";Getränke;3.88;7
2025-03-10;17:37;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-10;17:38;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-10;17:38;1;1999;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-11;11:22;1;2009;4463300215004;T-Shirt;;15.00;
2025-03-11;14:24;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-11;14:24;1;0014252568;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-11;14:24;1;0014252568;4463300210993;Wendehut;;10.00;
2025-03-11;20:36;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-11;20:36;1;0014252568;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-12;16:32;1;2009;11111;"hella Kirsche 0.75l";Getränke;3.88;7
2025-03-12;16:32;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-12;16:32;1;2009;44444;"Berliner Pils 0.33l";Getränke;1.00;
2025-03-12;16:32;1;2009;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-14;22:52;1;2009;12;"Testprodukt 12";Getränke;12.00;19
2025-03-14;22:52;1;2009;11;"Testprodukt 11";Getränke;11.00;19
2025-03-14;23:31;1;2009;9990000000000;Direktbuchung;Direktbuchung;8.88;19
2025-03-14;23:31;1;2009;9990000000000;Direktbuchung;Direktbuchung;9.99;19
2025-03-14;23:55;1;2009;11;"Testprodukt 11";Getränke;11.00;19
2025-03-14;23:55;1;2009;9990000000000;Direktbuchung;Direktbuchung;7.77;19
2025-03-17;17:49;1;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-17;19:04;x;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-17;19:04;x;0014252568;33333;"Coca Cola 0.33 l";Getränke;1.10;
2025-03-17;19:04;x;0014252568;44444;"Berliner Pils 0.33l";Getränke;1.00;
2025-03-17;19:06;4;0014252568;22222;"Jever Pils 0,5 L";Getränke;1.30;
2025-03-17;19:06;4;0014252568;33333;"Coca Cola 0.33 l";Getränke;1.10;
